year,carrier,salida,llegada,diff
2013,EV,2013-01-31T06:00:00Z,2013-01-31T06:33:00Z,33
2013,AA,2013-01-31T06:00:00Z,2013-01-31T06:35:00Z,35
2013,MQ,2013-01-31T06:00:00Z,2013-01-31T06:30:00Z,30
2013,WN,2013-01-31T06:00:00Z,2013-01-31T06:30:00Z,30
2013,B6,2013-01-31T06:00:00Z,2013-01-31T06:31:00Z,31
2013,B6,2013-01-31T06:00:00Z,2013-01-31T06:35:00Z,35
2013,AA,2013-01-31T06:00:00Z,2013-01-31T06:30:00Z,30
2013,UA,2013-01-31T06:00:00Z,2013-01-31T06:39:00Z,39
2013,EV,2013-01-31T06:00:00Z,2013-01-31T06:40:00Z,40
2013,UA,2013-01-31T06:00:00Z,2013-01-31T06:35:00Z,35
2013,B6,2013-01-31T06:00:00Z,2013-01-31T06:45:00Z,45
2013,UA,2013-01-31T06:00:00Z,2013-01-31T06:36:00Z,36
2013,US,2013-01-31T06:00:00Z,2013-01-31T06:45:00Z,45
2013,EV,2013-01-31T06:00:00Z,2013-01-31T06:45:00Z,45
2013,EV,2013-01-31T06:00:00Z,2013-01-31T06:36:00Z,36
2013,UA,2013-01-31T06:00:00Z,2013-01-31T06:45:00Z,45
2013,UA,2013-01-31T06:00:00Z,2013-01-31T06:35:00Z,35
2013,DL,2013-01-31T06:00:00Z,2013-01-31T06:55:00Z,55
2013,AA,2013-01-31T07:00:00Z,2013-01-31T07:00:00Z,0
2013,UA,2013-01-31T06:00:00Z,2013-01-31T06:34:00Z,34
2013,B6,2013-01-31T06:00:00Z,2013-01-31T06:55:00Z,55
2013,DL,2013-01-31T07:00:00Z,2013-01-31T07:00:00Z,0
2013,DL,2013-01-31T07:00:00Z,2013-01-31T07:00:00Z,0
2013,DL,2013-01-31T07:00:00Z,2013-01-31T07:00:00Z,0
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:00:00Z,0
2013,UA,2013-01-31T06:00:00Z,2013-01-31T06:54:00Z,54
2013,DL,2013-01-31T07:00:00Z,2013-01-31T07:00:00Z,0
2013,B6,2013-01-31T07:00:00Z,2013-01-31T07:00:00Z,0
2013,DL,2013-01-31T06:00:00Z,2013-01-31T06:59:00Z,59
2013,AA,2013-01-31T07:00:00Z,2013-01-31T07:00:00Z,0
2013,B6,2013-01-31T07:00:00Z,2013-01-31T07:00:00Z,0
2013,VX,2013-01-31T07:00:00Z,2013-01-31T07:05:00Z,5
2013,DL,2013-01-31T07:00:00Z,2013-01-31T07:00:00Z,0
2013,UA,2013-01-31T06:00:00Z,2013-01-31T06:35:00Z,35
2013,EV,2013-01-31T06:00:00Z,2013-01-31T06:25:00Z,25
2013,AA,2013-01-31T06:00:00Z,2013-01-31T06:59:00Z,59
2013,UA,2013-01-31T06:00:00Z,2013-01-31T06:45:00Z,45
2013,B6,2013-01-31T07:00:00Z,2013-01-31T07:05:00Z,5
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:05:00Z,5
2013,WN,2013-01-31T07:00:00Z,2013-01-31T07:05:00Z,5
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:05:00Z,5
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:05:00Z,5
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:05:00Z,5
2013,MQ,2013-01-31T07:00:00Z,2013-01-31T07:10:00Z,10
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:00:00Z,0
2013,EV,2013-01-31T06:00:00Z,2013-01-31T06:34:00Z,34
2013,FL,2013-01-31T07:00:00Z,2013-01-31T07:20:00Z,20
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:15:00Z,15
2013,DL,2013-01-31T07:00:00Z,2013-01-31T07:20:00Z,20
2013,AA,2013-01-31T07:00:00Z,2013-01-31T07:15:00Z,15
2013,AS,2013-01-31T07:00:00Z,2013-01-31T07:25:00Z,25
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:20:00Z,20
2013,AA,2013-01-31T07:00:00Z,2013-01-31T07:30:00Z,30
2013,AA,2013-01-31T07:00:00Z,2013-01-31T07:30:00Z,30
2013,AA,2013-01-31T07:00:00Z,2013-01-31T07:15:00Z,15
2013,MQ,2013-01-31T07:00:00Z,2013-01-31T07:05:00Z,5
2013,DL,2013-01-31T07:00:00Z,2013-01-31T07:30:00Z,30
2013,B6,2013-01-31T07:00:00Z,2013-01-31T07:29:00Z,29
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:15:00Z,15
2013,B6,2013-01-31T07:00:00Z,2013-01-31T07:31:00Z,31
2013,VX,2013-01-31T07:00:00Z,2013-01-31T07:30:00Z,30
2013,EV,2013-01-31T06:00:00Z,2013-01-31T06:30:00Z,30
2013,B6,2013-01-31T07:00:00Z,2013-01-31T07:10:00Z,10
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:30:00Z,30
2013,DL,2013-01-31T07:00:00Z,2013-01-31T07:40:00Z,40
2013,B6,2013-01-31T07:00:00Z,2013-01-31T07:35:00Z,35
2013,AA,2013-01-31T07:00:00Z,2013-01-31T07:30:00Z,30
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:40:00Z,40
2013,AA,2013-01-31T07:00:00Z,2013-01-31T07:45:00Z,45
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:40:00Z,40
2013,AA,2013-01-31T07:00:00Z,2013-01-31T07:45:00Z,45
2013,EV,2013-01-31T07:00:00Z,2013-01-31T07:40:00Z,40
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:45:00Z,45
2013,DL,2013-01-31T07:00:00Z,2013-01-31T07:53:00Z,53
2013,AA,2013-01-31T07:00:00Z,2013-01-31T07:55:00Z,55
2013,B6,2013-01-31T07:00:00Z,2013-01-31T07:57:00Z,57
2013,B6,2013-01-31T08:00:00Z,2013-01-31T08:00:00Z,0
2013,B6,2013-01-31T07:00:00Z,2013-01-31T07:05:00Z,5
2013,WN,2013-01-31T07:00:00Z,2013-01-31T07:55:00Z,55
2013,DL,2013-01-31T07:00:00Z,2013-01-31T07:59:00Z,59
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:45:00Z,45
2013,US,2013-01-31T07:00:00Z,2013-01-31T07:59:00Z,59
2013,UA,2013-01-31T08:00:00Z,2013-01-31T08:00:00Z,0
2013,DL,2013-01-31T08:00:00Z,2013-01-31T08:00:00Z,0
2013,EV,2013-01-31T08:00:00Z,2013-01-31T08:03:00Z,3
2013,EV,2013-01-31T07:00:00Z,2013-01-31T07:59:00Z,59
2013,9E,2013-01-31T08:00:00Z,2013-01-31T08:05:00Z,5
2013,DL,2013-01-31T08:00:00Z,2013-01-31T08:10:00Z,10
2013,EV,2013-01-31T07:00:00Z,2013-01-31T07:59:00Z,59
2013,EV,2013-01-31T06:00:00Z,2013-01-31T06:30:00Z,30
2013,FL,2013-01-31T08:00:00Z,2013-01-31T08:10:00Z,10
2013,AA,2013-01-31T08:00:00Z,2013-01-31T08:10:00Z,10
2013,AA,2013-01-31T08:00:00Z,2013-01-31T08:10:00Z,10
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:59:00Z,59
2013,WN,2013-01-31T08:00:00Z,2013-01-31T08:00:00Z,0
2013,DL,2013-01-31T08:00:00Z,2013-01-31T08:15:00Z,15
2013,DL,2013-01-31T08:00:00Z,2013-01-31T08:10:00Z,10
2013,US,2013-01-31T08:00:00Z,2013-01-31T08:15:00Z,15
2013,9E,2013-01-31T08:00:00Z,2013-01-31T08:15:00Z,15
2013,B6,2013-01-31T08:00:00Z,2013-01-31T08:12:00Z,12
2013,DL,2013-01-31T08:00:00Z,2013-01-31T08:17:00Z,17
2013,DL,2013-01-31T08:00:00Z,2013-01-31T08:15:00Z,15
2013,MQ,2013-01-31T08:00:00Z,2013-01-31T08:15:00Z,15
2013,EV,2013-01-31T07:00:00Z,2013-01-31T07:59:00Z,59
2013,US,2013-01-31T06:00:00Z,2013-01-31T06:15:00Z,15
2013,EV,2013-01-31T07:00:00Z,2013-01-31T07:20:00Z,20
2013,EV,2013-01-31T07:00:00Z,2013-01-31T07:05:00Z,5
2013,9E,2013-01-31T08:00:00Z,2013-01-31T08:20:00Z,20
2013,B6,2013-01-31T08:00:00Z,2013-01-31T08:05:00Z,5
2013,EV,2013-01-31T06:00:00Z,2013-01-31T06:30:00Z,30
2013,EV,2013-01-31T08:00:00Z,2013-01-31T08:34:00Z,34
2013,EV,2013-01-31T08:00:00Z,2013-01-31T08:27:00Z,27
2013,9E,2013-01-31T08:00:00Z,2013-01-31T08:20:00Z,20
2013,MQ,2013-01-31T08:00:00Z,2013-01-31T08:20:00Z,20
2013,UA,2013-01-31T08:00:00Z,2013-01-31T08:30:00Z,30
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:59:00Z,59
2013,EV,2013-01-31T08:00:00Z,2013-01-31T08:03:00Z,3
2013,AA,2013-01-31T08:00:00Z,2013-01-31T08:30:00Z,30
2013,B6,2013-01-31T07:00:00Z,2013-01-31T07:47:00Z,47
2013,WN,2013-01-31T08:00:00Z,2013-01-31T08:30:00Z,30
2013,DL,2013-01-31T08:00:00Z,2013-01-31T08:30:00Z,30
2013,F9,2013-01-31T08:00:00Z,2013-01-31T08:30:00Z,30
2013,AA,2013-01-31T08:00:00Z,2013-01-31T08:30:00Z,30
2013,B6,2013-01-31T08:00:00Z,2013-01-31T08:28:00Z,28
2013,9E,2013-01-31T08:00:00Z,2013-01-31T08:30:00Z,30
2013,B6,2013-01-31T08:00:00Z,2013-01-31T08:19:00Z,19
2013,UA,2013-01-31T08:00:00Z,2013-01-31T08:40:00Z,40
2013,UA,2013-01-31T08:00:00Z,2013-01-31T08:30:00Z,30
2013,9E,2013-01-31T08:00:00Z,2013-01-31T08:40:00Z,40
2013,B6,2013-01-31T08:00:00Z,2013-01-31T08:40:00Z,40
2013,UA,2013-01-31T08:00:00Z,2013-01-31T08:34:00Z,34
2013,UA,2013-01-31T08:00:00Z,2013-01-31T08:30:00Z,30
2013,US,2013-01-31T08:00:00Z,2013-01-31T08:45:00Z,45
2013,UA,2013-01-31T08:00:00Z,2013-01-31T08:35:00Z,35
2013,AA,2013-01-31T08:00:00Z,2013-01-31T08:35:00Z,35
2013,AA,2013-01-31T08:00:00Z,2013-01-31T08:45:00Z,45
2013,EV,2013-01-31T08:00:00Z,2013-01-31T08:40:00Z,40
2013,9E,2013-01-31T08:00:00Z,2013-01-31T08:45:00Z,45
2013,B6,2013-01-31T08:00:00Z,2013-01-31T08:07:00Z,7
2013,B6,2013-01-31T08:00:00Z,2013-01-31T08:55:00Z,55
2013,DL,2013-01-31T08:00:00Z,2013-01-31T08:59:00Z,59
2013,EV,2013-01-31T08:00:00Z,2013-01-31T08:55:00Z,55
2013,9E,2013-01-31T08:00:00Z,2013-01-31T08:55:00Z,55
2013,AA,2013-01-31T09:00:00Z,2013-01-31T09:00:00Z,0
2013,B6,2013-01-31T09:00:00Z,2013-01-31T09:00:00Z,0
2013,UA,2013-01-31T08:00:00Z,2013-01-31T08:57:00Z,57
2013,UA,2013-01-31T09:00:00Z,2013-01-31T09:00:00Z,0
2013,DL,2013-01-31T09:00:00Z,2013-01-31T09:00:00Z,0
2013,AA,2013-01-31T09:00:00Z,2013-01-31T09:00:00Z,0
2013,B6,2013-01-31T08:00:00Z,2013-01-31T08:25:00Z,25
2013,US,2013-01-31T06:00:00Z,2013-01-31T06:30:00Z,30
2013,UA,2013-01-31T09:00:00Z,2013-01-31T09:00:00Z,0
2013,DL,2013-01-31T09:00:00Z,2013-01-31T09:00:00Z,0
2013,DL,2013-01-31T09:00:00Z,2013-01-31T09:00:00Z,0
2013,HA,2013-01-31T09:00:00Z,2013-01-31T09:00:00Z,0
2013,VX,2013-01-31T09:00:00Z,2013-01-31T09:05:00Z,5
2013,UA,2013-01-31T09:00:00Z,2013-01-31T09:00:00Z,0
2013,UA,2013-01-31T09:00:00Z,2013-01-31T09:04:00Z,4
2013,UA,2013-01-31T09:00:00Z,2013-01-31T09:03:00Z,3
2013,UA,2013-01-31T09:00:00Z,2013-01-31T09:00:00Z,0
2013,EV,2013-01-31T09:00:00Z,2013-01-31T09:08:00Z,8
2013,UA,2013-01-31T08:00:00Z,2013-01-31T08:57:00Z,57
2013,MQ,2013-01-31T09:00:00Z,2013-01-31T09:05:00Z,5
2013,UA,2013-01-31T08:00:00Z,2013-01-31T08:59:00Z,59
2013,MQ,2013-01-31T08:00:00Z,2013-01-31T08:50:00Z,50
2013,EV,2013-01-31T08:00:00Z,2013-01-31T08:50:00Z,50
2013,DL,2013-01-31T08:00:00Z,2013-01-31T08:27:00Z,27
2013,9E,2013-01-31T07:00:00Z,2013-01-31T07:50:00Z,50
2013,UA,2013-01-31T09:00:00Z,2013-01-31T09:06:00Z,6
2013,B6,2013-01-31T09:00:00Z,2013-01-31T09:15:00Z,15
2013,UA,2013-01-31T09:00:00Z,2013-01-31T09:08:00Z,8
2013,EV,2013-01-31T08:00:00Z,2013-01-31T08:43:00Z,43
2013,UA,2013-01-31T07:00:00Z,2013-01-31T07:00:00Z,0
2013,AA,2013-01-31T09:00:00Z,2013-01-31T09:20:00Z,20
2013,DL,2013-01-31T09:00:00Z,2013-01-31T09:05:00Z,5
2013,AA,2013-01-31T09:00:00Z,2013-01-31T09:20:00Z,20
2013,EV,2013-01-31T09:00:00Z,2013-01-31T09:24:00Z,24
2013,B6,2013-01-31T09:00:00Z,2013-01-31T09:05:00Z,5
2013,B6,2013-01-31T09:00:00Z,2013-01-31T09:28:00Z,28
2013,WN,2013-01-31T09:00:00Z,2013-01-31T09:25:00Z,25
2013,EV,2013-01-31T08:00:00Z,2013-01-31T08:22:00Z,22
2013,B6,2013-01-31T09:00:00Z,2013-01-31T09:30:00Z,30
2013,EV,2013-01-31T09:00:00Z,2013-01-31T09:29:00Z,29
2013,B6,2013-01-31T09:00:00Z,2013-01-31T09:21:00Z,21
2013,MQ,2013-01-31T08:00:00Z,2013-01-31T08:10:00Z,10
2013,B6,2013-01-31T09:00:00Z,2013-01-31T09:35:00Z,35
2013,B6,2013-01-31T09:00:00Z,2013-01-31T09:29:00Z,29
2013,VX,2013-01-31T09:00:00Z,2013-01-31T09:35:00Z,35
2013,AA,2013-01-31T09:00:00Z,2013-01-31T09:40:00Z,40
2013,EV,2013-01-31T08:00:00Z,2013-01-31T08:10:00Z,10
2013,9E,2013-01-31T09:00:00Z,2013-01-31T09:30:00Z,30
2013,AA,2013-01-31T09:00:00Z,2013-01-31T09:45:00Z,45
2013,EV,2013-01-31T09:00:00Z,2013-01-31T09:29:00Z,29
2013,B6,2013-01-31T09:00:00Z,2013-01-31T09:50:00Z,50
2013,UA,2013-01-31T09:00:00Z,2013-01-31T09:20:00Z,20
2013,B6,2013-01-31T09:00:00Z,2013-01-31T09:35:00Z,35
2013,WN,2013-01-31T09:00:00Z,2013-01-31T09:50:00Z,50
2013,9E,2013-01-31T09:00:00Z,2013-01-31T09:50:00Z,50
2013,B6,2013-01-31T10:00:00Z,2013-01-31T10:00:00Z,0
2013,B6,2013-01-31T09:00:00Z,2013-01-31T09:15:00Z,15
2013,MQ,2013-01-31T09:00:00Z,2013-01-31T09:55:00Z,55
2013,DL,2013-01-31T10:00:00Z,2013-01-31T10:00:00Z,0
2013,EV,2013-01-31T10:00:00Z,2013-01-31T10:06:00Z,6
2013,B6,2013-01-31T09:00:00Z,2013-01-31T09:59:00Z,59
2013,WN,2013-01-31T09:00:00Z,2013-01-31T09:45:00Z,45
2013,DL,2013-01-31T10:00:00Z,2013-01-31T10:00:00Z,0
2013,UA,2013-01-31T09:00:00Z,2013-01-31T09:58:00Z,58
2013,UA,2013-01-31T09:00:00Z,2013-01-31T09:55:00Z,55
2013,EV,2013-01-31T08:00:00Z,2013-01-31T08:58:00Z,58
2013,UA,2013-01-31T10:00:00Z,2013-01-31T10:00:00Z,0
2013,DL,2013-01-31T10:00:00Z,2013-01-31T10:05:00Z,5
2013,US,2013-01-31T09:00:00Z,2013-01-31T09:59:00Z,59
2013,UA,2013-01-31T10:00:00Z,2013-01-31T10:00:00Z,0
2013,MQ,2013-01-31T08:00:00Z,2013-01-31T08:40:00Z,40
2013,DL,2013-01-31T09:00:00Z,2013-01-31T09:00:00Z,0
2013,EV,2013-01-31T10:00:00Z,2013-01-31T10:06:00Z,6
2013,US,2013-01-31T10:00:00Z,2013-01-31T10:15:00Z,15
2013,US,2013-01-31T10:00:00Z,2013-01-31T10:15:00Z,15
2013,AA,2013-01-31T10:00:00Z,2013-01-31T10:20:00Z,20
2013,UA,2013-01-31T10:00:00Z,2013-01-31T10:15:00Z,15
2013,EV,2013-01-31T08:00:00Z,2013-01-31T08:29:00Z,29
2013,AA,2013-01-31T10:00:00Z,2013-01-31T10:30:00Z,30
2013,VX,2013-01-31T10:00:00Z,2013-01-31T10:30:00Z,30
2013,DL,2013-01-31T10:00:00Z,2013-01-31T10:30:00Z,30
2013,EV,2013-01-31T10:00:00Z,2013-01-31T10:32:00Z,32
2013,AA,2013-01-31T10:00:00Z,2013-01-31T10:30:00Z,30
2013,MQ,2013-01-31T09:00:00Z,2013-01-31T09:59:00Z,59
2013,B6,2013-01-31T10:00:00Z,2013-01-31T10:31:00Z,31
2013,UA,2013-01-31T10:00:00Z,2013-01-31T10:00:00Z,0
2013,US,2013-01-31T10:00:00Z,2013-01-31T10:00:00Z,0
2013,DL,2013-01-31T10:00:00Z,2013-01-31T10:45:00Z,45
2013,MQ,2013-01-31T10:00:00Z,2013-01-31T10:50:00Z,50
2013,MQ,2013-01-31T08:00:00Z,2013-01-31T08:35:00Z,35
2013,UA,2013-01-31T10:00:00Z,2013-01-31T10:43:00Z,43
2013,US,2013-01-31T10:00:00Z,2013-01-31T10:15:00Z,15
2013,MQ,2013-01-31T10:00:00Z,2013-01-31T10:10:00Z,10
2013,B6,2013-01-31T10:00:00Z,2013-01-31T10:39:00Z,39
2013,UA,2013-01-31T10:00:00Z,2013-01-31T10:56:00Z,56
2013,UA,2013-01-31T10:00:00Z,2013-01-31T10:50:00Z,50
2013,DL,2013-01-31T10:00:00Z,2013-01-31T10:16:00Z,16
2013,UA,2013-01-31T10:00:00Z,2013-01-31T10:52:00Z,52
2013,EV,2013-01-31T09:00:00Z,2013-01-31T09:57:00Z,57
2013,B6,2013-01-31T10:00:00Z,2013-01-31T10:59:00Z,59
2013,DL,2013-01-31T11:00:00Z,2013-01-31T11:00:00Z,0
2013,DL,2013-01-31T10:00:00Z,2013-01-31T10:21:00Z,21
2013,UA,2013-01-31T11:00:00Z,2013-01-31T11:00:00Z,0
2013,DL,2013-01-31T11:00:00Z,2013-01-31T11:00:00Z,0
2013,US,2013-01-31T11:00:00Z,2013-01-31T11:00:00Z,0
2013,UA,2013-01-31T11:00:00Z,2013-01-31T11:00:00Z,0
2013,MQ,2013-01-31T11:00:00Z,2013-01-31T11:00:00Z,0
2013,B6,2013-01-31T10:00:00Z,2013-01-31T10:50:00Z,50
2013,US,2013-01-31T11:00:00Z,2013-01-31T11:00:00Z,0
2013,EV,2013-01-31T10:00:00Z,2013-01-31T10:42:00Z,42
2013,B6,2013-01-31T11:00:00Z,2013-01-31T11:10:00Z,10
2013,US,2013-01-31T10:00:00Z,2013-01-31T10:00:00Z,0
2013,DL,2013-01-31T11:00:00Z,2013-01-31T11:14:00Z,14
2013,AA,2013-01-31T11:00:00Z,2013-01-31T11:15:00Z,15
2013,EV,2013-01-31T10:00:00Z,2013-01-31T10:15:00Z,15
2013,B6,2013-01-31T11:00:00Z,2013-01-31T11:29:00Z,29
2013,DL,2013-01-31T11:00:00Z,2013-01-31T11:25:00Z,25
2013,DL,2013-01-31T11:00:00Z,2013-01-31T11:30:00Z,30
2013,AA,2013-01-31T11:00:00Z,2013-01-31T11:25:00Z,25
2013,B6,2013-01-31T11:00:00Z,2013-01-31T11:25:00Z,25
2013,WN,2013-01-31T11:00:00Z,2013-01-31T11:30:00Z,30
2013,DL,2013-01-31T11:00:00Z,2013-01-31T11:34:00Z,34
2013,EV,2013-01-31T11:00:00Z,2013-01-31T11:33:00Z,33
2013,B6,2013-01-31T11:00:00Z,2013-01-31T11:29:00Z,29
2013,UA,2013-01-31T11:00:00Z,2013-01-31T11:30:00Z,30
2013,AA,2013-01-31T11:00:00Z,2013-01-31T11:40:00Z,40
2013,MQ,2013-01-31T10:00:00Z,2013-01-31T10:30:00Z,30
2013,UA,2013-01-31T11:00:00Z,2013-01-31T11:19:00Z,19
2013,UA,2013-01-31T11:00:00Z,2013-01-31T11:30:00Z,30
2013,FL,2013-01-31T11:00:00Z,2013-01-31T11:45:00Z,45
2013,9E,2013-01-31T09:00:00Z,2013-01-31T09:55:00Z,55
2013,DL,2013-01-31T11:00:00Z,2013-01-31T11:40:00Z,40
2013,WN,2013-01-31T11:00:00Z,2013-01-31T11:00:00Z,0
2013,UA,2013-01-31T11:00:00Z,2013-01-31T11:44:00Z,44
2013,DL,2013-01-31T11:00:00Z,2013-01-31T11:45:00Z,45
2013,WN,2013-01-31T11:00:00Z,2013-01-31T11:05:00Z,5
2013,MQ,2013-01-31T11:00:00Z,2013-01-31T11:15:00Z,15
2013,B6,2013-01-31T11:00:00Z,2013-01-31T11:55:00Z,55
2013,UA,2013-01-31T12:00:00Z,2013-01-31T12:00:00Z,0
2013,9E,2013-01-31T11:00:00Z,2013-01-31T11:55:00Z,55
2013,US,2013-01-31T12:00:00Z,2013-01-31T12:00:00Z,0
2013,MQ,2013-01-31T12:00:00Z,2013-01-31T12:00:00Z,0
2013,B6,2013-01-31T08:00:00Z,2013-01-31T08:10:00Z,10
2013,WN,2013-01-31T12:00:00Z,2013-01-31T12:05:00Z,5
2013,B6,2013-01-31T12:00:00Z,2013-01-31T12:10:00Z,10
2013,US,2013-01-31T12:00:00Z,2013-01-31T12:00:00Z,0
2013,WN,2013-01-31T12:00:00Z,2013-01-31T12:10:00Z,10
2013,DL,2013-01-31T11:00:00Z,2013-01-31T11:45:00Z,45
2013,EV,2013-01-31T11:00:00Z,2013-01-31T11:15:00Z,15
2013,MQ,2013-01-31T11:00:00Z,2013-01-31T11:35:00Z,35
2013,MQ,2013-01-31T12:00:00Z,2013-01-31T12:00:00Z,0
2013,B6,2013-01-31T12:00:00Z,2013-01-31T12:20:00Z,20
2013,AA,2013-01-31T12:00:00Z,2013-01-31T12:00:00Z,0
2013,US,2013-01-31T10:00:00Z,2013-01-31T10:00:00Z,0
2013,MQ,2013-01-31T12:00:00Z,2013-01-31T12:05:00Z,5
2013,UA,2013-01-31T12:00:00Z,2013-01-31T12:17:00Z,17
2013,UA,2013-01-31T12:00:00Z,2013-01-31T12:21:00Z,21
2013,DL,2013-01-31T11:00:00Z,2013-01-31T11:00:00Z,0
2013,EV,2013-01-31T11:00:00Z,2013-01-31T11:44:00Z,44
2013,DL,2013-01-31T12:00:00Z,2013-01-31T12:40:00Z,40
2013,DL,2013-01-31T12:00:00Z,2013-01-31T12:35:00Z,35
2013,AA,2013-01-31T12:00:00Z,2013-01-31T12:45:00Z,45
2013,MQ,2013-01-31T11:00:00Z,2013-01-31T11:50:00Z,50
2013,UA,2013-01-31T12:00:00Z,2013-01-31T12:35:00Z,35
2013,DL,2013-01-31T12:00:00Z,2013-01-31T12:00:00Z,0
2013,UA,2013-01-31T11:00:00Z,2013-01-31T11:14:00Z,14
2013,DL,2013-01-31T12:00:00Z,2013-01-31T12:50:00Z,50
2013,UA,2013-01-31T12:00:00Z,2013-01-31T12:55:00Z,55
2013,WN,2013-01-31T12:00:00Z,2013-01-31T12:50:00Z,50
2013,9E,2013-01-31T13:00:00Z,2013-01-31T13:00:00Z,0
2013,WN,2013-01-31T13:00:00Z,2013-01-31T13:00:00Z,0
2013,UA,2013-01-31T12:00:00Z,2013-01-31T12:53:00Z,53
